# file	function	callee	count
launcher/main/apps/sand/tests/suite_sand_metal.c	test_wet_dirt_can_spoil_into_sand_instead_of_smelting	malloc	1
launcher/main/apps/sand/tests/suite_sand_motion.c	settled_base_x	free	4
launcher/main/apps/sand/tests/suite_sand_motion.c	settled_base_x	malloc	2
launcher/main/apps/sand/tests/suite_sand_perf.c	log_mixed_scene_hashes	free	4
launcher/main/apps/sand/tests/suite_sand_perf.c	log_mixed_scene_hashes	malloc	2
launcher/main/apps/sand/tests/suite_sand_perf.c	report_span_vs_row_present_cost	free	14
launcher/main/apps/sand/tests/suite_sand_perf.c	report_span_vs_row_present_cost	malloc	14
launcher/main/apps/sand/tests/suite_sand_perf.c	run_xtperf_over_full_step_scene	free	1
launcher/main/apps/sand/tests/suite_sand_perf.c	run_xtperf_over_full_step_scene	malloc	1
launcher/main/apps/sand/tests/suite_sand_perf.c	run_xtperf_over_mixed_scene	free	2
launcher/main/apps/sand/tests/suite_sand_perf.c	run_xtperf_over_mixed_scene	malloc	2
launcher/main/apps/sand/tests/suite_sand_perf.c	run_xtperf_over_water_scene	free	2
launcher/main/apps/sand/tests/suite_sand_perf.c	run_xtperf_over_water_scene	malloc	2
launcher/main/apps/sand/tests/suite_sand_perf.c	sweep_board_close	free	4
launcher/main/apps/sand/tests/suite_sand_perf.c	sweep_board_open	malloc	3
launcher/main/apps/sand/tests/suite_sand_perf.c	test_a_campfire_on_a_sand_bed_fits_in_the_frame_budget	free	2
launcher/main/apps/sand/tests/suite_sand_perf.c	test_a_campfire_on_a_sand_bed_fits_in_the_frame_budget	malloc	2
launcher/main/apps/sand/tests/suite_sand_perf.c	test_a_finished_tree_fits_in_the_frame_budget	free	2
launcher/main/apps/sand/tests/suite_sand_perf.c	test_a_finished_tree_fits_in_the_frame_budget	malloc	2
launcher/main/apps/sand/tests/suite_sand_perf.c	test_a_frame_budget_board_really_reaches_the_split_path	free	1
launcher/main/apps/sand/tests/suite_sand_perf.c	test_a_frame_budget_board_really_reaches_the_split_path	malloc	1
launcher/main/apps/sand/tests/suite_sand_perf.c	test_a_full_screen_of_fire_fits_in_the_frame_budget	free	2
launcher/main/apps/sand/tests/suite_sand_perf.c	test_a_full_screen_of_fire_fits_in_the_frame_budget	malloc	2
launcher/main/apps/sand/tests/suite_sand_perf.c	test_a_full_size_step_fits_in_the_frame_budget	free	1
