# file	function	callee	count
launcher/main/apps/sand/tools/shading_palette.c	main	fprintf	5
launcher/main/apps/sand/tools/shading_palette.c	main	snprintf	1
launcher/main/apps/sand/tools/shading_palette.c	ramp_finish	fprintf	1
launcher/main/apps/sand/tools/shading_palette.c	ramp_start	snprintf	1
launcher/main/apps/sand/tools/shading_palette.c	ramps_glass_heat	snprintf	1
launcher/main/apps/sand/tools/shading_palette.c	ramps_glass_shimmer	snprintf	1
launcher/main/apps/sand/tools/shading_palette.c	ramps_per_material	snprintf	2
launcher/main/apps/sand/tools/shading_palette.c	ramps_root_and_gunpowder	snprintf	1
launcher/main/apps/sand/tools/shading_palette.c	ramps_stone_grain_heat	snprintf	1
launcher/main/apps/sand/tools/shading_palette.c	ramps_stone_heat_grain	snprintf	1
launcher/main/apps/sand/tools/shading_palette.c	ramps_wood_and_leaf	snprintf	2
launcher/main/apps/sand/tools/shading_palette.c	render_scene	fprintf	1
launcher/main/apps/sand/tools/shading_palette.c	render_scene	snprintf	2
launcher/main/apps/sand/tools/shading_palette.c	report_ega16	fprintf	10
launcher/main/apps/sand/tools/shading_palette.c	report_palette_listing	fprintf	2
launcher/main/apps/sand/tools/shading_palette.c	report_ramps	fprintf	3
launcher/main/apps/sand/tools/shading_palette.c	report_scenes	fprintf	2
launcher/main/apps/sand/tools/shading_palette.c	report_sweep_group	fprintf	1
